# Shai-Hulud 2.0 Affected Packages List
# Source: https://www.wiz.io/blog/shai-hulud-2-0-ongoing-supply-chain-attack
# Format: package_name|malicious_versions (comma-separated)
# Total: 700+ packages
# Last updated: 2025-11-25

# High prevalence packages (13-27% of environments)
@postman/tunnel-agent|0.6.4
@aws-sdk/client-kinesis-analytics-v2|3.699.0
@aws-sdk/client-kinesis-video|3.699.0
@aws-sdk/client-kinesis-video-archived-media|3.699.0
@aws-sdk/client-kinesis-video-media|3.699.0
@aws-sdk/client-kinesis-video-signaling|3.699.0
@aws-sdk/client-kinesis-video-webrtc-storage|3.699.0
@aws-sdk/client-kms|3.699.0
@aws-sdk/client-lakeformation|3.699.0
@aws-sdk/client-lambda|3.699.0
@aws-sdk/client-launch-wizard|3.699.0
@aws-sdk/client-lex-model-building-service|3.699.0
@aws-sdk/client-lex-models-v2|3.699.0
@aws-sdk/client-lex-runtime-service|3.699.0
@aws-sdk/client-lex-runtime-v2|3.699.0
@aws-sdk/client-license-manager|3.699.0
@aws-sdk/client-license-manager-linux-subscriptions|3.699.0
@aws-sdk/client-license-manager-user-subscriptions|3.699.0
@aws-sdk/client-lightsail|3.699.0
@aws-sdk/client-location|3.699.0
@aws-sdk/client-lookoutequipment|3.699.0
@aws-sdk/client-lookoutmetrics|3.699.0
@aws-sdk/client-lookoutvision|3.699.0
@aws-sdk/client-m2|3.699.0
@aws-sdk/client-machine-learning|3.699.0
@aws-sdk/client-macie2|3.699.0
@aws-sdk/client-mailmanager|3.699.0
@aws-sdk/client-managedblockchain|3.699.0
@aws-sdk/client-managedblockchain-query|3.699.0
@aws-sdk/client-marketplace-agreement|3.699.0
@aws-sdk/client-marketplace-catalog|3.699.0
@aws-sdk/client-marketplace-commerce-analytics|3.699.0
@aws-sdk/client-marketplace-deployment|3.699.0
@aws-sdk/client-marketplace-entitlement-service|3.699.0
@aws-sdk/client-marketplace-metering|3.699.0
@aws-sdk/client-marketplace-reporting|3.699.0
@aws-sdk/client-mediaconnect|3.699.0
@aws-sdk/client-mediaconvert|3.699.0
@aws-sdk/client-medialive|3.699.0
@aws-sdk/client-mediapackage|3.699.0
@aws-sdk/client-mediapackage-vod|3.699.0
@aws-sdk/client-mediapackagev2|3.699.0
@aws-sdk/client-mediastore|3.699.0
@aws-sdk/client-mediastore-data|3.699.0
@aws-sdk/client-mediatailor|3.699.0
@aws-sdk/client-medical-imaging|3.699.0
@aws-sdk/client-memorydb|3.699.0
@aws-sdk/client-mgn|3.699.0
@aws-sdk/client-migration-hub|3.699.0
@aws-sdk/client-migration-hub-refactor-spaces|3.699.0
@aws-sdk/client-migrationhub-config|3.699.0
@aws-sdk/client-migrationhuborchestrator|3.699.0
@aws-sdk/client-migrationhubstrategy|3.699.0
@aws-sdk/client-mq|3.699.0
@aws-sdk/client-mturk|3.699.0
@aws-sdk/client-mwaa|3.699.0
@aws-sdk/client-neptune|3.699.0
@aws-sdk/client-neptune-graph|3.699.0
@aws-sdk/client-neptunedata|3.699.0
@aws-sdk/client-network-firewall|3.699.0
@aws-sdk/client-networkmanager|3.699.0
@aws-sdk/client-networkmonitor|3.699.0
@aws-sdk/client-nimble|3.699.0
@aws-sdk/client-notifications|3.699.0
@aws-sdk/client-notificationscontacts|3.699.0
@aws-sdk/client-oam|3.699.0
@aws-sdk/client-omics|3.699.0
@aws-sdk/client-opensearch|3.699.0
@aws-sdk/client-opensearchserverless|3.699.0
@aws-sdk/client-opsworks|3.699.0
@aws-sdk/client-opsworkscm|3.699.0
@aws-sdk/client-organizations|3.699.0
@aws-sdk/client-osis|3.699.0
@aws-sdk/client-outposts|3.699.0
@aws-sdk/client-panorama|3.699.0
@aws-sdk/client-partnercentral-selling|3.699.0
@aws-sdk/client-payment-cryptography|3.699.0
@aws-sdk/client-payment-cryptography-data|3.699.0
@aws-sdk/client-pca-connector-ad|3.699.0
@aws-sdk/client-pca-connector-scep|3.699.0
@aws-sdk/client-pcs|3.699.0
@aws-sdk/client-personalize|3.699.0
@aws-sdk/client-personalize-events|3.699.0
@aws-sdk/client-personalize-runtime|3.699.0
@aws-sdk/client-pi|3.699.0
@aws-sdk/client-pinpoint|3.699.0
@aws-sdk/client-pinpoint-email|3.699.0
@aws-sdk/client-pinpoint-sms-voice|3.699.0
@aws-sdk/client-pinpoint-sms-voice-v2|3.699.0
@aws-sdk/client-pipes|3.699.0
@aws-sdk/client-polly|3.699.0
@aws-sdk/client-pricing|3.699.0
@aws-sdk/client-privatenetworks|3.699.0
@aws-sdk/client-proton|3.699.0
@aws-sdk/client-qapps|3.699.0
@aws-sdk/client-qbusiness|3.699.0
@aws-sdk/client-qconnect|3.699.0
@aws-sdk/client-qldb|3.699.0
@aws-sdk/client-qldb-session|3.699.0
@aws-sdk/client-quicksight|3.699.0
@aws-sdk/client-ram|3.699.0
@aws-sdk/client-rbin|3.699.0
@aws-sdk/client-rds|3.699.0
@aws-sdk/client-rds-data|3.699.0
@aws-sdk/client-redshift|3.699.0
@aws-sdk/client-redshift-data|3.699.0
@aws-sdk/client-redshift-serverless|3.699.0
@aws-sdk/client-rekognition|3.699.0
@aws-sdk/client-repostspace|3.699.0
@aws-sdk/client-resiliencehub|3.699.0
@aws-sdk/client-resource-explorer-2|3.699.0
@aws-sdk/client-resource-groups|3.699.0
@aws-sdk/client-resource-groups-tagging-api|3.699.0
@aws-sdk/client-robomaker|3.699.0
@aws-sdk/client-rolesanywhere|3.699.0
@aws-sdk/client-route-53|3.699.0
@aws-sdk/client-route-53-domains|3.699.0
@aws-sdk/client-route53-recovery-cluster|3.699.0
@aws-sdk/client-route53-recovery-control-config|3.699.0
@aws-sdk/client-route53-recovery-readiness|3.699.0
@aws-sdk/client-route53profiles|3.699.0
@aws-sdk/client-route53resolver|3.699.0
@aws-sdk/client-rum|3.699.0
@aws-sdk/client-s3|3.699.0
@aws-sdk/client-s3-control|3.699.0
@aws-sdk/client-s3outposts|3.699.0
@aws-sdk/client-sagemaker|3.699.0
@aws-sdk/client-sagemaker-a2i-runtime|3.699.0
@aws-sdk/client-sagemaker-edge|3.699.0
@aws-sdk/client-sagemaker-featurestore-runtime|3.699.0
@aws-sdk/client-sagemaker-geospatial|3.699.0
@aws-sdk/client-sagemaker-metrics|3.699.0
@aws-sdk/client-sagemaker-runtime|3.699.0
@aws-sdk/client-savingsplans|3.699.0
@aws-sdk/client-scheduler|3.699.0
@aws-sdk/client-schemas|3.699.0
@aws-sdk/client-secrets-manager|3.699.0
@aws-sdk/client-securityhub|3.699.0
@aws-sdk/client-securitylake|3.699.0
@aws-sdk/client-serverlessapplicationrepository|3.699.0
@aws-sdk/client-service-catalog|3.699.0
@aws-sdk/client-service-catalog-appregistry|3.699.0
@aws-sdk/client-service-quotas|3.699.0
@aws-sdk/client-servicediscovery|3.699.0
@aws-sdk/client-ses|3.699.0
@aws-sdk/client-sesv2|3.699.0
@aws-sdk/client-sfn|3.699.0
@aws-sdk/client-shield|3.699.0
@aws-sdk/client-signer|3.699.0
@aws-sdk/client-simspaceweaver|3.699.0
@aws-sdk/client-sms|3.699.0
@aws-sdk/client-snow-device-management|3.699.0
@aws-sdk/client-snowball|3.699.0
@aws-sdk/client-sns|3.699.0
@aws-sdk/client-socialmessaging|3.699.0
@aws-sdk/client-sqs|3.699.0
@aws-sdk/client-ssm|3.699.0
@aws-sdk/client-ssm-contacts|3.699.0
@aws-sdk/client-ssm-incidents|3.699.0
@aws-sdk/client-ssm-quicksetup|3.699.0
@aws-sdk/client-ssm-sap|3.699.0
@aws-sdk/client-sso|3.699.0
@aws-sdk/client-sso-admin|3.699.0
@aws-sdk/client-sso-oidc|3.699.0
@aws-sdk/client-sts|3.699.0
@aws-sdk/client-supplychain|3.699.0
@aws-sdk/client-support|3.699.0
@aws-sdk/client-support-app|3.699.0
@aws-sdk/client-swf|3.699.0
@aws-sdk/client-synthetics|3.699.0
@aws-sdk/client-taxsettings|3.699.0
@aws-sdk/client-textract|3.699.0
@aws-sdk/client-timestream-influxdb|3.699.0
@aws-sdk/client-timestream-query|3.699.0
@aws-sdk/client-timestream-write|3.699.0
@aws-sdk/client-tnb|3.699.0
@aws-sdk/client-transcribe|3.699.0
@aws-sdk/client-transcribe-streaming|3.699.0
@aws-sdk/client-transfer|3.699.0
@aws-sdk/client-translate|3.699.0
@aws-sdk/client-trustedadvisor|3.699.0
@aws-sdk/client-verifiedpermissions|3.699.0
@aws-sdk/client-voice-id|3.699.0
@aws-sdk/client-vpc-lattice|3.699.0
@aws-sdk/client-waf|3.699.0
@aws-sdk/client-waf-regional|3.699.0
@aws-sdk/client-wafv2|3.699.0
@aws-sdk/client-wellarchitected|3.699.0
@aws-sdk/client-wisdom|3.699.0
@aws-sdk/client-workdocs|3.699.0
@aws-sdk/client-workmail|3.699.0
@aws-sdk/client-workmailmessageflow|3.699.0
@aws-sdk/client-workspaces|3.699.0
@aws-sdk/client-workspaces-thin-client|3.699.0
@aws-sdk/client-workspaces-web|3.699.0
@aws-sdk/client-xray|3.699.0
@aws-sdk/cloudfront-signer|3.699.0
@aws-sdk/core|3.699.0
@aws-sdk/credential-provider-cognito-identity|3.699.0
@aws-sdk/credential-provider-env|3.699.0
@aws-sdk/credential-provider-http|3.699.0
@aws-sdk/credential-provider-ini|3.699.0
@aws-sdk/credential-provider-node|3.699.0
@aws-sdk/credential-provider-process|3.699.0
@aws-sdk/credential-provider-sso|3.699.0
@aws-sdk/credential-provider-web-identity|3.699.0
@aws-sdk/credential-providers|3.699.0
@aws-sdk/lib-dynamodb|3.699.0
@aws-sdk/lib-storage|3.699.0
@aws-sdk/middleware-bucket-endpoint|3.699.0
@aws-sdk/middleware-endpoint-discovery|3.699.0
@aws-sdk/middleware-eventstream|3.699.0
@aws-sdk/middleware-expect-continue|3.699.0
@aws-sdk/middleware-flexible-checksums|3.699.0
@aws-sdk/middleware-host-header|3.699.0
@aws-sdk/middleware-location-constraint|3.699.0
@aws-sdk/middleware-logger|3.699.0
@aws-sdk/middleware-recursion-detection|3.699.0
@aws-sdk/middleware-sdk-api-gateway|3.699.0
@aws-sdk/middleware-sdk-ec2|3.699.0
@aws-sdk/middleware-sdk-glacier|3.699.0
@aws-sdk/middleware-sdk-machinelearning|3.699.0
@aws-sdk/middleware-sdk-route53|3.699.0
@aws-sdk/middleware-sdk-s3|3.699.0
@aws-sdk/middleware-sdk-s3-control|3.699.0
@aws-sdk/middleware-sdk-sqs|3.699.0
@aws-sdk/middleware-sdk-sts|3.699.0
@aws-sdk/middleware-sdk-transcribe-streaming|3.699.0
@aws-sdk/middleware-signing|3.699.0
@aws-sdk/middleware-ssec|3.699.0
@aws-sdk/middleware-token|3.699.0
@aws-sdk/middleware-user-agent|3.699.0
@aws-sdk/middleware-websocket|3.699.0
@aws-sdk/polly-request-presigner|3.699.0
@aws-sdk/rds-signer|3.699.0
@aws-sdk/region-config-resolver|3.699.0
@aws-sdk/s3-presigned-post|3.699.0
@aws-sdk/s3-request-presigner|3.699.0
@aws-sdk/signature-v4-crt|3.699.0
@aws-sdk/signature-v4-multi-region|3.699.0
@aws-sdk/token-providers|3.699.0
@aws-sdk/types|3.699.0
@aws-sdk/util-arn-parser|3.699.0
@aws-sdk/util-create-request|3.699.0
@aws-sdk/util-dynamodb|3.699.0
@aws-sdk/util-endpoints|3.699.0
@aws-sdk/util-format-url|3.699.0
@aws-sdk/util-locate-window|3.699.0
@aws-sdk/util-user-agent-browser|3.699.0
@aws-sdk/util-user-agent-node|3.699.0
@aws-sdk/util-utf8-browser|3.699.0
@aws-sdk/xml-builder|3.699.0
react-qr-image|1.1.1

